组别	题数	均分_满分10	回答成功题数	实际读取Wiki题数	模型步骤_每题	输入tokens	输出tokens	推理tokens	缓存读取tokens	回答秒_每题	评分秒_每题	额外回答尝试_已记录	重试明细覆盖题数
仅代码仓	122	5.393443	121	0	7.615	9352700	207431	407653	21057472	193.422	57.052	1	62
代码仓 + 强制 OpenWiki	122	5.655738	122	122	11.508	15749363	255892	615634	40815744	151.963	62.54	4	122
代码仓 + 可选 OpenWiki	122	5.614754	122	27	8.91	11193550	227258	435456	26537536	185.998	64.61	0	122
仅 OpenWiki	122	3.401639	120	122	6.623	8486878	176290	258761	13473664	83.18	53.314	16	122
代码仓 + /init AGENTS.md	122	5.286885	113	0	10.738	12928185	257499	518146	37205184	154.022	59.596	30	122
代码仓 + 静默可见 OpenWiki	122	5.368852	122	7	8.139	8465706	223534	368443	26445504	158.173	46.472	1	122
