group_id,group_zh,input_policy,questions,independent_repeats_per_question,mean_score_10,zero_scores,answer_successes,wiki_read_questions,answer_model_calls,mean_model_calls_per_question,answer_input_tokens,answer_output_tokens,answer_reasoning_tokens,answer_cache_read_tokens,answer_final_seconds_total,answer_final_seconds_mean,answer_retry_records_covered,known_extra_answer_attempts,answer_all_attempt_seconds_if_complete,scorer_final_seconds_total,scorer_final_seconds_mean,scorer_model_calls_final,scorer_input_tokens_final,scorer_output_tokens_final,scorer_reasoning_tokens_final,scorer_cache_read_tokens_final,known_extra_scorer_attempts
baseline,仅代码仓,只读代码仓,122,1,5.393443,16,121,0,929,7.615,9352700,207431,407653,21057472,23597.521,193.422,62,1,,6960.37,57.052,122,953129,48453,370802,1037312,3
openwiki,代码仓 + 强制 OpenWiki,先读 quickstart 与另一 Wiki 页，可读代码,122,1,5.655738,13,122,122,1404,11.508,15749363,255892,615634,40815744,18539.44,151.963,122,4,19448.267,7629.856,62.54,122,917875,48431,347123,1069568,4
optional_openwiki,代码仓 + 可选 OpenWiki,提示 Wiki 可用，Agent 自选是否读取,122,1,5.614754,10,122,27,1087,8.91,11193550,227258,435456,26537536,22691.706,185.998,122,0,22691.706,7882.398,64.61,123,971899,48512,377393,1040064,3
wiki_only,仅 OpenWiki,只可读 Wiki，不能读代码,122,1,3.401639,29,120,122,808,6.623,8486878,176290,258761,13473664,10147.944,83.18,122,16,11541.73,6504.287,53.314,120,961928,47333,287083,981184,3
agents_md,代码仓 + /init AGENTS.md,只读代码与生成的 AGENTS.md,122,1,5.286885,24,113,0,1310,10.738,12928185,257499,518146,37205184,18790.64,154.022,122,30,26234.406,7270.725,59.596,114,958972,47734,363440,915840,7
silent_openwiki,代码仓 + 静默可见 OpenWiki,Wiki 可见但提示词与根目录均不提示,122,1,5.368852,18,122,7,993,8.139,8465706,223534,368443,26445504,19297.052,158.173,122,1,20197.062,5669.56,46.472,122,832725,44867,298391,1184640,4
